"type","id","created","modified","created_by_ref","name","description","object_marking_refs","external_references","x_mitre_version","x_mitre_aliases","x_mitre_platforms","spec_version","x_mitre_attack_spec_version","x_mitre_domains","x_mitre_modified_by_ref","x_mitre_contributors"
"tool","tool--c8655260-9f4b-44e3-85e1-6538a5f6e4f4","2018-10-17T00:14:20.652Z","2018-10-17T00:14:20.652Z","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","Koadic","[Koadic](S0250) is a Windows post-exploitation framework and penetration testing tool. [Koadic](S0250) is publicly available on GitHub and the tool is executed via the command-line. [Koadic](S0250) has several options for staging payloads and creating implants. [Koadic](S0250) performs most of its operations using Windows Script Host. (Citation: Github Koadic) (Citation: Palo Alto Sofacy 06-2018)","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","[{'external_id': 'S0250', 'url': 'https://attack.mitre.org/software/S0250', 'source_name': 'mitre-attack'}, {'description': '(Citation: Github Koadic)', 'source_name': 'Koadic'}, {'url': 'https://github.com/zerosum0x0/koadic', 'description': 'Magius, J., et al. (2017, July 19). Koadic. Retrieved June 18, 2018.', 'source_name': 'Github Koadic'}, {'url': 'https://researchcenter.paloaltonetworks.com/2018/06/unit42-sofacy-groups-parallel-attacks/', 'description': 'Lee, B., Falcone, R. (2018, June 06). Sofacy Group’s Parallel Attacks. Retrieved June 18, 2018.', 'source_name': 'Palo Alto Sofacy 06-2018'}]","1.0","['Koadic']","['Windows']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5",""
"tool","tool--2fab555f-7664-4623-b4e0-1675ae38190b","2017-05-31T21:33:10.962Z","2018-10-17T00:14:20.652Z","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","Lslsass","[Lslsass](S0121) is a publicly-available tool that can dump active logon session password hashes from the lsass process. (Citation: Mandiant APT1)","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","[{'external_id': 'S0121', 'url': 'https://attack.mitre.org/software/S0121', 'source_name': 'mitre-attack'}, {'url': 'https://www.fireeye.com/content/dam/fireeye-www/services/pdfs/mandiant-apt1-report.pdf', 'description': 'Mandiant. (n.d.). APT1 Exposing One of China’s Cyber Espionage Units. Retrieved July 18, 2016.', 'source_name': 'Mandiant APT1'}]","1.0","['Lslsass']","['Windows']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5",""
"tool","tool--5a33468d-844d-4b1f-98c9-0e786c556b27","2018-01-16T16:13:52.465Z","2018-10-17T00:14:20.652Z","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","MimiPenguin","[MimiPenguin](S0179) is a credential dumper, similar to [Mimikatz](S0002), designed specifically for Linux platforms. (Citation: MimiPenguin GitHub May 2017)","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","[{'external_id': 'S0179', 'url': 'https://attack.mitre.org/software/S0179', 'source_name': 'mitre-attack'}, {'url': 'https://github.com/huntergregal/mimipenguin', 'description': 'Gregal, H. (2017, May 12). MimiPenguin. Retrieved December 5, 2017.', 'source_name': 'MimiPenguin GitHub May 2017'}]","1.0","['MimiPenguin']","['Linux']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","['Vincent Le Toux']"
"tool","tool--afc079f3-c0ea-4096-b75d-3f05338b7f60","2017-05-31T21:32:11.544Z","2018-10-17T00:14:20.652Z","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","Mimikatz","[Mimikatz](S0002) is a credential dumper capable of obtaining plaintext Windows account logins and passwords, along with many other features that make it useful for testing the security of networks. (Citation: Deply Mimikatz) (Citation: Adsecurity Mimikatz Guide)","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","[{'external_id': 'S0002', 'url': 'https://attack.mitre.org/software/S0002', 'source_name': 'mitre-attack'}, {'url': 'https://github.com/gentilkiwi/mimikatz', 'description': 'Deply, B. (n.d.). Mimikatz. Retrieved September 29, 2015.', 'source_name': 'Deply Mimikatz'}, {'url': 'https://adsecurity.org/?page_id=1821', 'description': 'Metcalf, S. (2015, November 13). Unofficial Guide to Mimikatz & Command Reference. Retrieved December 23, 2015.', 'source_name': 'Adsecurity Mimikatz Guide'}]","1.0","['Mimikatz']","['Windows']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","['Vincent Le Toux']"
"tool","tool--03342581-f790-4f03-ba41-e82e67392e23","2017-05-31T21:32:31.601Z","2018-10-17T00:14:20.652Z","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","Net","The [Net](S0039) utility is a component of the Windows operating system. It is used in command-line operations for control of users, groups, services, and network connections. (Citation: Microsoft Net Utility)

[Net](S0039) has a great deal of functionality, (Citation: Savill 1999) much of which is useful for an adversary, such as gathering system and network information for Discovery, moving laterally through [Windows Admin Shares](T1077) using `net use` commands, and interacting with services.","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","[{'external_id': 'S0039', 'url': 'https://attack.mitre.org/software/S0039', 'source_name': 'mitre-attack'}, {'url': 'https://msdn.microsoft.com/en-us/library/aa939914', 'description': 'Microsoft. (2006, October 18). Net.exe Utility. Retrieved September 22, 2015.', 'source_name': 'Microsoft Net Utility'}, {'url': 'http://windowsitpro.com/windows/netexe-reference', 'description': 'Savill, J. (1999, March 4). Net.exe reference. Retrieved September 22, 2015.', 'source_name': 'Savill 1999'}]","1.0","['Net', 'net.exe']","['Windows']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5",""
"tool","tool--a52edc76-328d-4596-85e7-d56ef5a9eb69","2017-05-31T21:33:11.426Z","2018-10-17T00:14:20.652Z","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","Pass-The-Hash Toolkit","[Pass-The-Hash Toolkit](S0122) is a toolkit that allows an adversary to ""pass"" a password hash (without knowing the original password) to log in to systems. (Citation: Mandiant APT1)","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","[{'external_id': 'S0122', 'url': 'https://attack.mitre.org/software/S0122', 'source_name': 'mitre-attack'}, {'url': 'https://www.fireeye.com/content/dam/fireeye-www/services/pdfs/mandiant-apt1-report.pdf', 'description': 'Mandiant. (n.d.). APT1 Exposing One of China’s Cyber Espionage Units. Retrieved July 18, 2016.', 'source_name': 'Mandiant APT1'}]","1.0","['Pass-The-Hash Toolkit']","['Linux', 'Windows', 'macOS']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5",""
"tool","tool--b77b563c-34bb-4fb8-86a3-3694338f7b47","2017-05-31T21:33:01.483Z","2018-10-17T00:14:20.652Z","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","Ping","[Ping](S0097) is an operating system utility commonly used to troubleshoot and verify network connections. (Citation: TechNet Ping)","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","[{'external_id': 'S0097', 'url': 'https://attack.mitre.org/software/S0097', 'source_name': 'mitre-attack'}, {'url': 'https://technet.microsoft.com/en-us/library/bb490968.aspx', 'description': 'Microsoft. (n.d.). Ping. Retrieved April 8, 2016.', 'source_name': 'TechNet Ping'}]","1.0","['ping.exe', 'Ping']","['Linux', 'Windows', 'macOS']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5",""
"tool","tool--13cd9151-83b7-410d-9f98-25d0f0d1d80d","2018-04-18T17:59:24.739Z","2018-10-17T00:14:20.652Z","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","PowerSploit","[PowerSploit](S0194) is an open source, offensive security framework compromised of [PowerShell](T1086) modules and scripts that perform a wide range of tasks related to penetration testing such as code execution, persistence, bypassing anti-virus, recon, and exfiltration. (Citation: GitHub PowerSploit May 2012) (Citation: PowerShellMagazine PowerSploit July 2014) (Citation: PowerSploit Documentation)","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","[{'external_id': 'S0194', 'url': 'https://attack.mitre.org/software/S0194', 'source_name': 'mitre-attack'}, {'url': 'https://github.com/PowerShellMafia/PowerSploit', 'description': 'PowerShellMafia. (2012, May 26). PowerSploit - A PowerShell Post-Exploitation Framework. Retrieved February 6, 2018.', 'source_name': 'GitHub PowerSploit May 2012'}, {'url': 'http://www.powershellmagazine.com/2014/07/08/powersploit/', 'description': 'Graeber, M. (2014, July 8). PowerSploit. Retrieved February 6, 2018.', 'source_name': 'PowerShellMagazine PowerSploit July 2014'}, {'url': 'http://powersploit.readthedocs.io', 'description': 'PowerSploit. (n.d.). PowerSploit. Retrieved February 6, 2018.', 'source_name': 'PowerSploit Documentation'}]","1.0","['PowerSploit']","['Windows']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5",""
"tool","tool--ff6caf67-ea1f-4895-b80e-4bb0fc31c6db","2017-05-31T21:32:21.771Z","2018-10-17T00:14:20.652Z","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","PsExec","[PsExec](S0029) is a free Microsoft tool that can be used to execute a program on another computer. It is used by IT administrators and attackers. (Citation: Russinovich Sysinternals) (Citation: SANS PsExec)","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","[{'external_id': 'S0029', 'url': 'https://attack.mitre.org/software/S0029', 'source_name': 'mitre-attack'}, {'url': 'https://technet.microsoft.com/en-us/sysinternals/bb897553.aspx', 'description': 'Russinovich, M. (2014, May 2). Windows Sysinternals PsExec v2.11. Retrieved May 13, 2015.', 'source_name': 'Russinovich Sysinternals'}, {'url': 'https://digital-forensics.sans.org/blog/2012/12/17/protecting-privileged-domain-accounts-psexec-deep-dive', 'description': 'Pilkington, M.. (2012, December 17). Protecting Privileged Domain Accounts: PsExec Deep-Dive. Retrieved August 17, 2016.', 'source_name': 'SANS PsExec'}]","1.0","['PsExec']","['Windows']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5",""
"tool","tool--cb69b20d-56d0-41ab-8440-4a4b251614d4","2018-04-18T17:59:24.739Z","2018-10-17T00:14:20.652Z","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","Pupy","[Pupy](S0192) is an open source, cross-platform (Windows, Linux, OSX, Android) remote administration and post-exploitation tool. (Citation: GitHub Pupy) It is written in Python and can be generated as a payload in several different ways (Windows exe, Python file, PowerShell oneliner/file, Linux elf, APK, Rubber Ducky, etc.). (Citation: GitHub Pupy) [Pupy](S0192) is publicly available on GitHub. (Citation: GitHub Pupy)","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","[{'external_id': 'S0192', 'url': 'https://attack.mitre.org/software/S0192', 'source_name': 'mitre-attack'}, {'url': 'https://github.com/n1nj4sec/pupy', 'description': 'Nicolas Verdier. (n.d.). Retrieved January 29, 2018.', 'source_name': 'GitHub Pupy'}]","1.0","['Pupy']","['Linux', 'Windows', 'macOS']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5",""
"tool","tool--da04ac30-27da-4959-a67d-450ce47d9470","2018-10-17T00:14:20.652Z","2018-10-17T00:14:20.652Z","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","QuasarRAT","[QuasarRAT](S0262) is an open-source, remote access tool that is publicly available on GitHub. [QuasarRAT](S0262) is developed in the C# language. (Citation: GitHub QuasarRAT) (Citation: Volexity Patchwork June 2018)","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","[{'external_id': 'S0262', 'url': 'https://attack.mitre.org/software/S0262', 'source_name': 'mitre-attack'}, {'description': '(Citation: GitHub QuasarRAT) (Citation: Volexity Patchwork June 2018) (Citation: TrendMicro Patchwork Dec 2017)', 'source_name': 'QuasarRAT'}, {'description': '(Citation: TrendMicro Patchwork Dec 2017)', 'source_name': 'xRAT'}, {'url': 'https://github.com/quasar/QuasarRAT', 'description': 'MaxXor. (n.d.). QuasarRAT. Retrieved July 10, 2018.', 'source_name': 'GitHub QuasarRAT'}, {'url': 'https://documents.trendmicro.com/assets/tech-brief-untangling-the-patchwork-cyberespionage-group.pdf', 'description': 'Lunghi, D., et al. (2017, December). Untangling the Patchwork Cyberespionage Group. Retrieved July 10, 2018.', 'source_name': 'TrendMicro Patchwork Dec 2017'}, {'url': 'https://www.volexity.com/blog/2018/06/07/patchwork-apt-group-targets-us-think-tanks/', 'description': 'Meltzer, M, et al. (2018, June 07). Patchwork APT Group Targets US Think Tanks. Retrieved July 16, 2018.', 'source_name': 'Volexity Patchwork June 2018'}]","1.0","['QuasarRAT', 'xRAT']","['Windows']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5",""
"tool","tool--cde2d700-9ed1-46cf-9bce-07364fe8b24f","2017-05-31T21:32:49.000Z","2018-10-17T00:14:20.652Z","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","Reg","[Reg](S0075) is a Windows utility used to interact with the Windows Registry. It can be used at the command-line interface to query, add, modify, and remove information. (Citation: Microsoft Reg)

Utilities such as [Reg](S0075) are known to be used by persistent threats. (Citation: Windows Commands JPCERT)","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","[{'external_id': 'S0075', 'url': 'https://attack.mitre.org/software/S0075', 'source_name': 'mitre-attack'}, {'url': 'https://technet.microsoft.com/en-us/library/cc732643.aspx', 'description': 'Microsoft. (2012, April 17). Reg. Retrieved May 1, 2015.', 'source_name': 'Microsoft Reg'}, {'url': 'http://blog.jpcert.or.jp/2016/01/windows-commands-abused-by-attackers.html', 'description': 'Tomonaga, S. (2016, January 26). Windows Commands Abused by Attackers. Retrieved February 2, 2016.', 'source_name': 'Windows Commands JPCERT'}]","1.0","['Reg', 'reg.exe']","['Windows']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5",""
"tool","tool--a1dd2dbd-1550-44bf-abcc-1a4c52e97719","2018-01-16T16:13:52.465Z","2018-10-17T00:14:20.652Z","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","Responder","Responder is an open source tool used for LLMNR, NBT-NS and MDNS poisoning, with built-in HTTP/SMB/MSSQL/FTP/LDAP rogue authentication server supporting NTLMv1/NTLMv2/LMv2, Extended Security NTLMSSP and Basic HTTP authentication. (Citation: GitHub Responder)","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","[{'external_id': 'S0174', 'url': 'https://attack.mitre.org/software/S0174', 'source_name': 'mitre-attack'}, {'url': 'https://github.com/SpiderLabs/Responder', 'description': 'Gaffie, L. (2016, August 25). Responder. Retrieved November 17, 2017.', 'source_name': 'GitHub Responder'}]","1.0","['Responder']","['Windows']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5",""
"tool","tool--d8d19e33-94fd-4aa3-b94a-08ee801a2153","2018-04-18T17:59:24.739Z","2018-10-17T00:14:20.652Z","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","SDelete","[SDelete](S0195) is an application that securely deletes data in a way that makes it unrecoverable. It is part of the Microsoft Sysinternals suite of tools. (Citation: Microsoft SDelete July 2016)","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","[{'external_id': 'S0195', 'url': 'https://attack.mitre.org/software/S0195', 'source_name': 'mitre-attack'}, {'description': '(Citation: Microsoft SDelete July 2016)', 'source_name': 'SDelete'}, {'url': 'https://docs.microsoft.com/en-us/sysinternals/downloads/sdelete', 'description': 'Russinovich, M. (2016, July 4). SDelete v2.0. Retrieved February 8, 2018.', 'source_name': 'Microsoft SDelete July 2016'}]","1.0","['SDelete']","['Windows']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5",""
"tool","tool--7fcbc4e8-1989-441f-9ac5-e7b6ff5806f1","2017-05-31T21:33:00.969Z","2018-10-17T00:14:20.652Z","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","Systeminfo","[Systeminfo](S0096) is a Windows utility that can be used to gather detailed information about a computer. (Citation: TechNet Systeminfo)","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","[{'external_id': 'S0096', 'url': 'https://attack.mitre.org/software/S0096', 'source_name': 'mitre-attack'}, {'url': 'https://technet.microsoft.com/en-us/library/bb491007.aspx', 'description': 'Microsoft. (n.d.). Systeminfo. Retrieved April 8, 2016.', 'source_name': 'TechNet Systeminfo'}]","1.0","['systeminfo.exe', 'Systeminfo']","['Windows']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5",""
"tool","tool--2e45723a-31da-4a7e-aaa6-e01998a6788f","2017-05-31T21:32:39.233Z","2018-10-17T00:14:20.652Z","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","Tasklist","The [Tasklist](S0057) utility displays a list of applications and services with their Process IDs (PID) for all tasks running on either a local or a remote computer. It is packaged with Windows operating systems and can be executed from the command-line interface. (Citation: Microsoft Tasklist)","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","[{'external_id': 'S0057', 'url': 'https://attack.mitre.org/software/S0057', 'source_name': 'mitre-attack'}, {'url': 'https://technet.microsoft.com/en-us/library/bb491010.aspx', 'description': 'Microsoft. (n.d.). Tasklist. Retrieved December 23, 2015.', 'source_name': 'Microsoft Tasklist'}]","1.0","['Tasklist']","['Windows']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5",""
