"type","id","created","modified","mitre_attack_id","created_by_ref","name","description","external_references","object_marking_refs","x_mitre_aliases","spec_version","x_mitre_attack_spec_version","x_mitre_domains","x_mitre_modified_by_ref","x_mitre_version","x_mitre_contributors"
"tool","tool--a52edc76-328d-4596-85e7-d56ef5a9eb69","2017-05-31T21:33:11.426Z","2018-01-17T12:56:55.080Z","S0122","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","Pass-The-Hash Toolkit","Pass-The-Hash Toolkit is a toolkit that allows an adversary to ""pass"" a password hash (without knowing the original password) to log in to systems. (Citation: Mandiant APT1)

Aliases: Pass-The-Hash Toolkit","[{'source_name': 'mitre-attack', 'url': 'https://attack.mitre.org/wiki/Software/S0122', 'external_id': 'S0122'}, {'source_name': 'Mandiant APT1', 'description': 'Mandiant. (n.d.). APT1 Exposing One of China’s Cyber Espionage Units. Retrieved July 18, 2016.', 'url': 'https://www.fireeye.com/content/dam/fireeye-www/services/pdfs/mandiant-apt1-report.pdf'}]","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","['Pass-The-Hash Toolkit']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0",""
"tool","tool--b77b563c-34bb-4fb8-86a3-3694338f7b47","2017-05-31T21:33:01.483Z","2018-01-17T12:56:55.080Z","S0097","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","Ping","Ping is an operating system utility commonly used to troubleshoot and verify network connections. (Citation: TechNet Ping)

Aliases: Ping, ping.exe","[{'source_name': 'mitre-attack', 'url': 'https://attack.mitre.org/wiki/Software/S0097', 'external_id': 'S0097'}, {'source_name': 'TechNet Ping', 'description': 'Microsoft. (n.d.). Ping. Retrieved April 8, 2016.', 'url': 'https://technet.microsoft.com/en-us/library/bb490968.aspx'}]","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","['Ping', 'ping.exe']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0",""
"tool","tool--ff6caf67-ea1f-4895-b80e-4bb0fc31c6db","2017-05-31T21:32:21.771Z","2018-01-17T12:56:55.080Z","S0029","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","PsExec","PsExec is a free Microsoft tool that can be used to execute a program on another computer. It is used by IT administrators and attackers. (Citation: Russinovich Sysinternals) (Citation: SANS PsExec)

Aliases: PsExec","[{'source_name': 'mitre-attack', 'url': 'https://attack.mitre.org/wiki/Software/S0029', 'external_id': 'S0029'}, {'source_name': 'Russinovich Sysinternals', 'description': 'Russinovich, M. (2014, May 2). Windows Sysinternals PsExec v2.11. Retrieved May 13, 2015.', 'url': 'https://technet.microsoft.com/en-us/sysinternals/bb897553.aspx'}, {'source_name': 'SANS PsExec', 'description': 'Pilkington, M.. (2012, December 17). Protecting Privileged Domain Accounts: PsExec Deep-Dive. Retrieved August 17, 2016.', 'url': 'https://digital-forensics.sans.org/blog/2012/12/17/protecting-privileged-domain-accounts-psexec-deep-dive'}]","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","['PsExec']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0",""
"tool","tool--cde2d700-9ed1-46cf-9bce-07364fe8b24f","2017-05-31T21:32:49.000Z","2018-01-17T12:56:55.080Z","S0075","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","Reg","Reg is a Windows utility used to interact with the Windows Registry. It can be used at the command-line interface to query, add, modify, and remove information. (Citation: Microsoft Reg)

Utilities such as Reg are known to be used by persistent threats. (Citation: Windows Commands JPCERT)

Aliases: Reg, reg.exe","[{'source_name': 'mitre-attack', 'url': 'https://attack.mitre.org/wiki/Software/S0075', 'external_id': 'S0075'}, {'source_name': 'Microsoft Reg', 'description': 'Microsoft. (2012, April 17). Reg. Retrieved May 1, 2015.', 'url': 'https://technet.microsoft.com/en-us/library/cc732643.aspx'}, {'source_name': 'Windows Commands JPCERT', 'description': 'Tomonaga, S. (2016, January 26). Windows Commands Abused by Attackers. Retrieved February 2, 2016.', 'url': 'http://blog.jpcert.or.jp/2016/01/windows-commands-abused-by-attackers.html'}]","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","['Reg', 'reg.exe']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0",""
"tool","tool--a1dd2dbd-1550-44bf-abcc-1a4c52e97719","2018-01-16T16:13:52.465Z","2018-01-17T12:56:55.080Z","S0174","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","Responder","Responder is an open source tool used for LLMNR, NBT-NS and MDNS poisoning, with built-in HTTP/SMB/MSSQL/FTP/LDAP rogue authentication server supporting NTLMv1/NTLMv2/LMv2, Extended Security NTLMSSP and Basic HTTP authentication. (Citation: GitHub Responder)

Aliases: Responder","[{'source_name': 'mitre-attack', 'url': 'https://attack.mitre.org/wiki/Software/S0174', 'external_id': 'S0174'}, {'source_name': 'GitHub Responder', 'description': 'Gaffie, L. (2016, August 25). Responder. Retrieved November 17, 2017.', 'url': 'https://github.com/SpiderLabs/Responder'}]","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","['Responder']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0",""
"tool","tool--7fcbc4e8-1989-441f-9ac5-e7b6ff5806f1","2017-05-31T21:33:00.969Z","2018-01-17T12:56:55.080Z","S0096","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","Systeminfo","Systeminfo is a Windows utility that can be used to gather detailed information about a computer. (Citation: TechNet Systeminfo)

Aliases: Systeminfo, systeminfo.exe","[{'source_name': 'mitre-attack', 'url': 'https://attack.mitre.org/wiki/Software/S0096', 'external_id': 'S0096'}, {'source_name': 'TechNet Systeminfo', 'description': 'Microsoft. (n.d.). Systeminfo. Retrieved April 8, 2016.', 'url': 'https://technet.microsoft.com/en-us/library/bb491007.aspx'}]","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","['Systeminfo', 'systeminfo.exe']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0",""
"tool","tool--2e45723a-31da-4a7e-aaa6-e01998a6788f","2017-05-31T21:32:39.233Z","2018-01-17T12:56:55.080Z","S0057","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","Tasklist","The Tasklist utility displays a list of applications and services with their Process IDs (PID) for all tasks running on either a local or a remote computer. It is packaged with Windows operating systems and can be executed from the command-line interface. (Citation: Microsoft Tasklist)

Aliases: Tasklist","[{'source_name': 'mitre-attack', 'url': 'https://attack.mitre.org/wiki/Software/S0057', 'external_id': 'S0057'}, {'source_name': 'Microsoft Tasklist', 'description': 'Microsoft. (n.d.). Tasklist. Retrieved December 23, 2015.', 'url': 'https://technet.microsoft.com/en-us/library/bb491010.aspx'}]","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","['Tasklist']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0",""
"tool","tool--ed7d0cb1-87a6-43b4-9f46-ef1bc56d6c68","2018-01-16T16:13:52.465Z","2018-01-17T12:56:55.080Z","S0183","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","Tor","Tor is a software suite and network that provides increased anonymity on the Internet. It creates a multi-hop proxy network and utilizes multilayer encryption to protect both the message and routing information. Tor utilizes ""Onion Routing,"" in which messages are encrypted with multiple layers of encryption; at each step in the proxy network, the topmost layer is decrypted and the contents forwarded on to the next node until it reaches its destination. (Citation: Dingledine Tor The Second-Generation Onion Router)

Aliases: Tor","[{'source_name': 'mitre-attack', 'url': 'https://attack.mitre.org/wiki/Software/S0183', 'external_id': 'S0183'}, {'source_name': 'Dingledine Tor The Second-Generation Onion Router', 'description': 'Roger Dingledine, Nick Mathewson and Paul Syverson. (2004). Tor: The Second-Generation Onion Router. Retrieved December 21, 2017.', 'url': 'http://www.dtic.mil/dtic/tr/fulltext/u2/a465464.pdf'}]","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","['Tor']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0",""
"tool","tool--102c3898-85e0-43ee-ae28-62a0a3ed9507","2017-05-31T21:33:09.047Z","2018-01-17T12:56:55.080Z","S0116","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","UACMe","UACMe is an open source assessment tool that contains many methods for bypassing Windows User Account Control on multiple versions of the operating system. (Citation: Github UACMe)

Aliases: UACMe","[{'source_name': 'mitre-attack', 'url': 'https://attack.mitre.org/wiki/Software/S0116', 'external_id': 'S0116'}, {'source_name': 'Github UACMe', 'description': 'UACME Project. (2016, June 16). UACMe. Retrieved July 26, 2016.', 'url': 'https://github.com/hfiref0x/UACME'}]","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","['UACMe']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0",""
"tool","tool--242f3da3-4425-4d11-8f5c-b842886da966","2017-05-31T21:32:12.684Z","2018-01-17T12:56:55.080Z","S0005","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","Windows Credential Editor","Windows Credential Editor is a password dumping tool. (Citation: Amplia WCE)

Aliases: Windows Credential Editor, WCE","[{'source_name': 'mitre-attack', 'url': 'https://attack.mitre.org/wiki/Software/S0005', 'external_id': 'S0005'}, {'source_name': 'Amplia WCE', 'description': 'Amplia Security. (n.d.). Windows Credentials Editor (WCE) F.A.Q.. Retrieved December 17, 2015.', 'url': 'http://www.ampliasecurity.com/research/wcefaq.html'}]","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","['Windows Credential Editor', 'WCE']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0",""
"tool","tool--0c8465c0-d0b4-4670-992e-4eee8d7ff952","2017-05-31T21:33:06.824Z","2018-01-17T12:56:55.080Z","S0110","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","at","at is used to schedule tasks on a system to run at a specified date or time. (Citation: TechNet At)

Aliases: at, at.exe","[{'source_name': 'mitre-attack', 'url': 'https://attack.mitre.org/wiki/Software/S0110', 'external_id': 'S0110'}, {'source_name': 'TechNet At', 'description': 'Microsoft. (n.d.). At. Retrieved April 28, 2016.', 'url': 'https://technet.microsoft.com/en-us/library/bb490866.aspx'}]","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","['at', 'at.exe']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0",""
"tool","tool--0a68f1f1-da74-4d28-8d9a-696c082706cc","2017-12-14T16:46:06.044Z","2018-01-17T12:56:55.080Z","S0160","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","certutil","Certutil is a command-line utility that can be used to obtain certificate authority information and configure Certificate Services. (Citation: TechNet Certutil)

Aliases: certutil, certutil.exe","[{'source_name': 'mitre-attack', 'url': 'https://attack.mitre.org/wiki/Software/S0160', 'external_id': 'S0160'}, {'source_name': 'TechNet Certutil', 'description': 'Microsoft. (2012, November 14). Certutil. Retrieved July 3, 2017.', 'url': 'https://technet.microsoft.com/library/cc732443.aspx'}]","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","['certutil', 'certutil.exe']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0",""
"tool","tool--bba595da-b73a-4354-aa6c-224d4de7cb4e","2017-05-31T21:33:05.319Z","2018-01-17T12:56:55.080Z","S0106","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","cmd","cmd is the Windows command-line interpreter that can be used to interact with systems and execute other processes and utilities. (Citation: TechNet Cmd)

Cmd.exe contains native functionality to perform many operations to interact with the system, including listing files in a directory (e.g., `dir` (Citation: TechNet Dir)), deleting files (e.g., `del` (Citation: TechNet Del)), and copying files (e.g., `copy` (Citation: TechNet Copy)).

Aliases: cmd, cmd.exe","[{'source_name': 'mitre-attack', 'url': 'https://attack.mitre.org/wiki/Software/S0106', 'external_id': 'S0106'}, {'source_name': 'TechNet Cmd', 'description': 'Microsoft. (n.d.). Cmd. Retrieved April 18, 2016.', 'url': 'https://technet.microsoft.com/en-us/library/bb490880.aspx'}, {'source_name': 'TechNet Dir', 'description': 'Microsoft. (n.d.). Dir. Retrieved April 18, 2016.', 'url': 'https://technet.microsoft.com/en-us/library/cc755121.aspx'}, {'source_name': 'TechNet Del', 'description': 'Microsoft. (n.d.). Del. Retrieved April 22, 2016.', 'url': 'https://technet.microsoft.com/en-us/library/cc771049.aspx'}, {'source_name': 'TechNet Copy', 'description': 'Microsoft. (n.d.). Copy. Retrieved April 26, 2016.', 'url': 'https://technet.microsoft.com/en-us/library/bb490886.aspx'}]","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","['cmd', 'cmd.exe']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0",""
"tool","tool--38952eac-cb1b-4a71-bad2-ee8223a1c8fe","2017-05-31T21:33:04.937Z","2018-01-17T12:56:55.080Z","S0105","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","dsquery","dsquery is a command-line utility that can be used to query Active Directory for information from a system within a domain. (Citation: TechNet Dsquery) It is typically installed only on Windows Server versions but can be installed on non-server variants through the Microsoft-provided Remote Server Administration Tools bundle.

Aliases: dsquery, dsquery.exe","[{'source_name': 'mitre-attack', 'url': 'https://attack.mitre.org/wiki/Software/S0105', 'external_id': 'S0105'}, {'source_name': 'TechNet Dsquery', 'description': 'Microsoft. (n.d.). Dsquery. Retrieved April 18, 2016.', 'url': 'https://technet.microsoft.com/en-us/library/cc732952.aspx'}]","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","['dsquery', 'dsquery.exe']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0",""
"tool","tool--b07c2c47-fefb-4d7c-a69e-6a3296171f54","2017-05-31T21:32:13.755Z","2018-01-17T12:56:55.080Z","S0008","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","gsecdump","gsecdump is a publicly-available credential dumper used to obtain password hashes and LSA secrets from Windows operating systems. (Citation: TrueSec Gsecdump)

Aliases: gsecdump","[{'source_name': 'mitre-attack', 'url': 'https://attack.mitre.org/wiki/Software/S0008', 'external_id': 'S0008'}, {'source_name': 'TrueSec Gsecdump', 'description': 'TrueSec. (n.d.). gsecdump v2.0b5. Retrieved September 29, 2015.', 'url': 'https://www.truesec.se/sakerhet/verktyg/saakerhet/gsecdump%20v2.0b5'}]","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","['gsecdump']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0",""
"tool","tool--362dc67f-4e85-4562-9dac-1b6b7f3ec4b5","2017-05-31T21:33:03.377Z","2018-01-17T12:56:55.080Z","S0101","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","ifconfig","ifconfig is a Unix-based utility used to gather information about and interact with the TCP/IP settings on a system. (Citation: Wikipedia Ifconfig)

Aliases: ifconfig","[{'source_name': 'mitre-attack', 'url': 'https://attack.mitre.org/wiki/Software/S0101', 'external_id': 'S0101'}, {'source_name': 'Wikipedia Ifconfig', 'description': 'Wikipedia. (2016, January 26). ifconfig. Retrieved April 17, 2016.', 'url': 'https://en.wikipedia.org/wiki/Ifconfig'}]","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","['ifconfig']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0",""
"tool","tool--294e2560-bd48-44b2-9da2-833b5588ad11","2017-05-31T21:33:02.863Z","2018-01-17T12:56:55.080Z","S0100","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","ipconfig","ipconfig is a Windows utility that can be used to find information about a system's TCP/IP, DNS, DHCP, and adapter configuration. (Citation: TechNet Ipconfig)

Aliases: ipconfig, ipconfig.exe","[{'source_name': 'mitre-attack', 'url': 'https://attack.mitre.org/wiki/Software/S0100', 'external_id': 'S0100'}, {'source_name': 'TechNet Ipconfig', 'description': 'Microsoft. (n.d.). Ipconfig. Retrieved April 17, 2016.', 'url': 'https://technet.microsoft.com/en-us/library/bb490921.aspx'}]","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","['ipconfig', 'ipconfig.exe']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0",""
