"type","id","created","modified","mitre_attack_id","created_by_ref","relationship_type","source_ref","target_ref","object_marking_refs","spec_version","x_mitre_attack_spec_version","x_mitre_domains","x_mitre_modified_by_ref","x_mitre_version","description","external_references"
"relationship","relationship--3e89d94b-5e6f-48b3-ba80-d366940fa968","2017-05-31T21:33:27.018Z","2018-01-17T12:56:55.080Z","","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","mitigates","course-of-action--25d5e1d8-c6fb-4735-bc57-115a21222f4b","attack-pattern--4ae4f953-fe58-4cc8-a327-33257e30a830","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0","",""
"relationship","relationship--06cd0498-7ebb-41e6-9399-c43c82487540","2017-05-31T21:33:27.030Z","2018-01-17T12:56:55.080Z","","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","mitigates","course-of-action--16dd03c6-0dfb-4d77-89cd-9ff3ee6e533d","attack-pattern--1035cdf2-3e5f-446f-a7a7-e8f6d7925967","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0","",""
"relationship","relationship--758b6582-b988-4ab9-911e-e40c9bbebc2d","2017-05-31T21:33:27.031Z","2018-01-17T12:56:55.080Z","","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","mitigates","course-of-action--943d370b-2054-44df-8be2-ab4139bde1c5","attack-pattern--52d40641-c480-4ad5-81a3-c80ccaddf82d","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0","",""
"relationship","relationship--fa04ac7f-206f-42ad-b0c7-499e57bc99ce","2017-05-31T21:33:27.030Z","2018-01-17T12:56:55.080Z","","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","mitigates","course-of-action--8bd1ae32-a686-48f4-a6f8-470287f76152","attack-pattern--30208d3e-0d6b-43c8-883e-44462a514619","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0","",""
"relationship","relationship--b8306976-370f-403d-9983-fe3327c00709","2017-05-31T21:33:27.019Z","2018-01-17T12:56:55.080Z","","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","mitigates","course-of-action--2497ac92-e751-4391-82c6-1b86e34d0294","attack-pattern--774a3188-6ba9-4dc4-879d-d54ee48a5ce9","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0","",""
"relationship","relationship--9952a93f-d009-48e5-a618-8e8f97a55685","2017-12-14T16:46:06.044Z","2018-01-17T12:56:55.080Z","","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","mitigates","course-of-action--ace4daee-f914-4707-be75-843f16da2edf","attack-pattern--44dca04b-808d-46ca-b25f-d85236d4b9f8","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0","",""
"relationship","relationship--1a3de27b-377c-4390-9911-2da8aaa705e3","2017-05-31T21:33:27.018Z","2018-01-17T12:56:55.080Z","","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","mitigates","course-of-action--16a8ac85-a06f-460f-ad22-910167bd7332","attack-pattern--519630c5-f03f-4882-825c-3af924935817","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0","",""
"relationship","relationship--49dd2ac1-cd3a-46db-89d7-307c65971a3d","2017-05-31T21:33:27.024Z","2018-01-17T12:56:55.080Z","","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","mitigates","course-of-action--96150c35-466f-4f0a-97a9-ae87ee27f751","attack-pattern--02fefddc-fb1b-423f-a76b-7552dd211d4d","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0","",""
"relationship","relationship--d18d4353-e344-4759-b51b-ed39ab2b5f46","2018-01-16T16:13:52.465Z","2018-01-17T12:56:55.080Z","","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","mitigates","course-of-action--b52f41b9-ccf6-4da7-a6c0-167eeb71fbd8","attack-pattern--389735f1-f21c-4208-b8f0-f8031e7169b8","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0","",""
"relationship","relationship--cade3e14-aab4-4297-b77d-019d3ee0ccef","2017-05-31T21:33:27.029Z","2018-01-17T12:56:55.080Z","","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","mitigates","course-of-action--4a99fecc-680b-448e-8fe7-8144c60d272c","attack-pattern--a93494bb-4b80-4ea1-8695-3236a49916fd","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0","",""
"relationship","relationship--483a70b9-eae9-4d5f-925c-95c2dd7b9fa5","2017-05-31T21:33:27.026Z","2018-01-17T12:56:55.080Z","","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","mitigates","course-of-action--beb45abb-11e8-4aef-9778-1f9ac249784f","attack-pattern--ca1a3f50-5ebd-41f8-8320-2c7d6a6e88be","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0","",""
"relationship","relationship--0b0884f1-1a40-436e-9a74-8cbe9c9d6732","2017-05-31T21:33:27.021Z","2018-01-17T12:56:55.080Z","","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","mitigates","course-of-action--d7c49196-b40e-42bc-8eed-b803113692ed","attack-pattern--68c96494-1a50-403e-8844-69a6af278c68","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0","",""
"relationship","relationship--02f28dfb-4e72-47e2-a390-2ec3fa67d26d","2017-12-14T16:46:06.044Z","2018-01-17T12:56:55.080Z","","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","mitigates","course-of-action--3e7018e9-7389-48e7-9208-0bdbcbba9483","attack-pattern--d3046a90-580c-4004-8208-66915bc29830","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0","",""
"relationship","relationship--25a46055-25f5-4f91-9b0f-ba099f9dde4b","2017-05-31T21:33:27.029Z","2018-01-17T12:56:55.080Z","","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","mitigates","course-of-action--19edfa02-1a5f-47e4-ad82-3288f57f64cf","attack-pattern--30973a08-aed9-4edf-8604-9084ce1b5c4f","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0","",""
"relationship","relationship--f9ca3697-51a1-494b-8a61-06e516f29860","2017-05-31T21:33:27.029Z","2018-01-17T12:56:55.080Z","","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","mitigates","course-of-action--82fbc58b-171d-4a2d-9a20-c6b2a716bd08","attack-pattern--1b84d551-6de8-4b96-9930-d177677c3b1d","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0","",""
"relationship","relationship--b1ee5cba-d4e0-4af0-aa5c-5faacfdb0dbc","2017-05-31T21:33:27.023Z","2018-01-17T12:56:55.080Z","","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","mitigates","course-of-action--f28a20fd-d173-4603-807e-2cb3f51bdf04","attack-pattern--7385dfaf-6886-4229-9ecd-6fd678040830","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0","",""
"relationship","relationship--a34d1e30-dcf5-4743-93e5-e4834e980f0f","2017-05-31T21:33:27.021Z","2018-01-17T12:56:55.080Z","","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","mitigates","course-of-action--7c1796c7-9fc3-4c3e-9416-527295bf5d95","attack-pattern--f879d51c-5476-431c-aedf-f14d207e4d1e","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0","",""
"relationship","relationship--cf699238-7091-4d79-9741-d792152f37c1","2017-05-31T21:33:27.027Z","2018-01-17T12:56:55.080Z","","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","mitigates","course-of-action--b8d57b16-d8e2-428c-a645-1083795b3445","attack-pattern--64196062-5210-42c3-9a02-563a0d1797ef","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0","",""
"relationship","relationship--a65de154-e0dd-445f-9f26-8459a287c790","2017-05-31T21:33:27.030Z","2018-01-17T12:56:55.080Z","","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","mitigates","course-of-action--ff5d862a-ae6b-4833-8c15-e235d654d28e","attack-pattern--9b52fca7-1a36-4da0-b62d-da5bd83b4d69","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0","",""
"relationship","relationship--eede138c-9745-453c-a8b5-684b696c2ad0","2017-05-31T21:33:27.027Z","2018-01-17T12:56:55.080Z","","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","mitigates","course-of-action--d75a3d1b-b536-4f15-a23c-f4bcc17837b8","attack-pattern--731f4f55-b6d0-41d1-a7a9-072a66389aea","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0","",""
"relationship","relationship--7b88fc6b-32c0-4c3d-9ea3-505543c7f374","2017-12-14T16:46:06.044Z","2018-01-17T12:56:55.080Z","","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","mitigates","course-of-action--9a5b7194-88e0-4579-b82f-e3c27b8cca80","attack-pattern--e01be9c5-e763-4caf-aeb7-000b416aef67","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0","",""
"relationship","relationship--ef79ec2f-fd7f-4f0b-851c-d215693987be","2017-05-31T21:33:27.017Z","2018-01-17T12:56:55.080Z","","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","mitigates","course-of-action--aeff5887-8f9e-48d5-a523-9b395e2ce80a","attack-pattern--0a3ead4e-6d47-4ccb-854c-a6a4f9d96b22","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0","",""
"relationship","relationship--5a491b91-739f-498b-b8f2-b14aaea07893","2017-05-31T21:33:27.026Z","2018-01-17T12:56:55.080Z","","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","mitigates","course-of-action--0472af99-f25c-4abe-9fce-010fa3450e72","attack-pattern--ba8e391f-14b5-496f-81f2-2d5ecd646c1c","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0","",""
"relationship","relationship--647032ac-0432-4785-9d50-06b9970bcbcb","2017-05-31T21:33:27.027Z","2018-01-17T12:56:55.080Z","","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","mitigates","course-of-action--f3d0c735-330f-43c2-8e8e-51bcfa51e8c3","attack-pattern--f72eb8a8-cd4c-461d-a814-3f862befbf00","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0","",""
"relationship","relationship--442aa7b4-00a0-4d73-ae61-5a09c319ac1c","2017-05-31T21:33:27.019Z","2018-01-17T12:56:55.080Z","","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","mitigates","course-of-action--a569295c-a093-4db4-9fb4-7105edef85ad","attack-pattern--3b3cbbe0-6ed3-4334-b543-3ddfd8c5642d","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0","",""
"relationship","relationship--069e82d5-89f2-4477-a1f5-115be8ab040a","2017-05-31T21:33:27.021Z","2018-01-17T12:56:55.080Z","","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","mitigates","course-of-action--96913243-2b5e-4483-a65c-bb152ddd2f04","attack-pattern--46944654-fcc1-4f63-9dad-628102376586","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0","",""
"relationship","relationship--4f2dbf3d-70f6-42d9-8894-c98d8bc70abc","2017-05-31T21:33:27.025Z","2018-01-17T12:56:55.080Z","","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","mitigates","course-of-action--7a14d974-f3d9-4e4e-9b7d-980385762908","attack-pattern--b2001907-166b-4d71-bb3c-9d26c871de09","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0","",""
"relationship","relationship--ea46cbd0-7134-4ede-a117-47380ddd9b5c","2017-05-31T21:33:27.017Z","2018-01-17T12:56:55.080Z","","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","mitigates","course-of-action--28adf6fd-ab6c-4553-9aa7-cef18a191f33","attack-pattern--b9f5dbe2-4c55-4fc5-af2e-d42c1d182ec4","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0","",""
"relationship","relationship--b274a57d-9d27-4e33-b6dc-15e007805838","2017-05-31T21:33:27.031Z","2018-01-17T12:56:55.080Z","","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","mitigates","course-of-action--fcbe8424-eb3e-4794-b76d-e743f5a49b8b","attack-pattern--cc7b8c4e-9be0-47ca-b0bb-83915ec3ee2f","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0","",""
"relationship","relationship--bd5699e8-8765-4f24-8307-c81a296b87e0","2017-05-31T21:33:27.019Z","2018-01-17T12:56:55.080Z","","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","mitigates","course-of-action--2a8de25c-f743-4348-b101-3ee33ab5871b","attack-pattern--d54416bd-0803-41ca-870a-ce1af7c05638","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0","",""
"relationship","relationship--4b12c645-96fc-45ac-b515-8333d6e254ef","2017-05-31T21:33:27.017Z","2018-01-17T12:56:55.080Z","","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","mitigates","course-of-action--d0fcf37a-b6c4-4745-9c43-4fcdb8bfc88e","attack-pattern--ad255bfe-a9e6-4b52-a258-8d3462abe842","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0","",""
"relationship","relationship--47316750-4ca7-4ea3-b72c-9d7c7d895e3a","2017-05-31T21:33:27.025Z","2018-01-17T12:56:55.080Z","","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","mitigates","course-of-action--4320b080-9ae9-4541-9b8b-bcd0961dbbbd","attack-pattern--7dd95ff6-712e-4056-9626-312ea4ab4c5e","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0","",""
"relationship","relationship--cff2088f-c003-4d03-aa8a-cca36753b930","2017-05-31T21:33:27.020Z","2018-01-17T12:56:55.080Z","","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","mitigates","course-of-action--ba06d68a-4891-4eb5-b634-152e05ec60ee","attack-pattern--c3888c54-775d-4b2f-b759-75a2ececcbfd","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0","",""
"relationship","relationship--1b4cd403-8e3a-43da-bc25-a7e8d707794b","2017-05-31T21:33:27.017Z","2018-01-17T12:56:55.080Z","","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","mitigates","course-of-action--7ee0879d-ce4f-4f54-a96b-c532dfb98ffd","attack-pattern--3c4a2599-71ee-4405-ba1e-0e28414b4bc5","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0","",""
"relationship","relationship--592d0c31-e61f-495e-a60e-70d7be59a719","2017-05-31T21:33:27.021Z","2018-01-17T12:56:55.080Z","","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","mitigates","course-of-action--d9727aee-48b8-4fdb-89e2-4c49746ba4dd","attack-pattern--ae676644-d2d2-41b7-af7e-9bed1b55898c","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0","",""
"relationship","relationship--bb283a5e-7d61-4b33-aa30-e7c2f0bacbe6","2017-05-31T21:33:27.020Z","2018-01-17T12:56:55.080Z","","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","mitigates","course-of-action--39706d54-0d06-4a25-816a-78cc43455100","attack-pattern--1b7ba276-eedc-4951-a762-0ceea2c030ec","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0","",""
"relationship","relationship--8104dfee-8883-4f7c-8f7d-84c9b409efc3","2017-12-14T16:46:06.044Z","2018-01-17T12:56:55.080Z","","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","mitigates","course-of-action--d01f473f-3cdc-4867-9e55-1de9cf1986f0","attack-pattern--3ccef7ae-cb5e-48f6-8302-897105fbf55c","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0","",""
"relationship","relationship--b35a5218-e64d-49b5-a37d-6390edddece6","2017-05-31T21:33:27.026Z","2018-01-17T12:56:55.080Z","","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","mitigates","course-of-action--388606d3-f38f-45bf-885d-a9dc9df3c8a8","attack-pattern--2e0dd10b-676d-4964-acd0-8a404c92b044","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0","",""
"relationship","relationship--65a4317d-86b2-40c1-9d27-a067bcc2ad80","2018-01-16T16:13:52.465Z","2018-01-17T12:56:55.080Z","","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","mitigates","course-of-action--910482b1-6749-4934-abcb-3e34d58294fc","attack-pattern--772bc7a8-a157-42cc-8728-d648e25c7fe7","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0","",""
"relationship","relationship--b41c70df-0955-408c-90ee-7acad8b080e1","2018-01-16T16:13:52.465Z","2018-01-17T12:56:55.080Z","","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","mitigates","course-of-action--62ae52c9-7197-4f5b-be1d-10d2e1df2c96","attack-pattern--1ce03c65-5946-4ac9-9d4d-66db87e024bd","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0","",""
"relationship","relationship--c24f1b29-ee7b-4fe6-89be-6b733888a4e6","2017-12-14T16:46:06.044Z","2018-01-17T12:56:55.080Z","","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","mitigates","course-of-action--dc43c2fe-355e-4a79-9570-3267b0992784","attack-pattern--aa8bfbc9-78dc-41a4-a03b-7453e0fdccda","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0","",""
