"type","id","created","modified","object_marking_refs","name","x_mitre_version","created_by_ref","x_mitre_platforms","description","x_mitre_collection_layers","x_mitre_contributors","external_references","spec_version","x_mitre_attack_spec_version","x_mitre_domains","x_mitre_modified_by_ref"
"x-mitre-data-source","x-mitre-data-source--9ec8c0d7-6137-456f-b829-c5f8b96ba054","2021-10-20T15:05:19.274252Z","2021-11-10T09:30:48.695431Z","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","Driver","1.0","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","['Linux', 'macOS', 'Windows']","A computer program that operates or controls a particular type of device that is attached to a computer. Provides a software interface to hardware devices, enabling operating systems and other computer programs to access hardware functions without needing to know precise details about the hardware being used(Citation: IOKit Fundamentals)(Citation: Windows Getting Started Drivers)","['Host']","['Center for Threat-Informed Defense (CTID)']","[{'url': 'https://attack.mitre.org/datasources/DS0027', 'external_id': 'DS0027', 'source_name': 'mitre-attack'}, {'url': 'https://developer.apple.com/library/archive/documentation/DeviceDrivers/Conceptual/IOKitFundamentals/Features/Features.html', 'description': 'Apple. (2014, April 9). What Is the I/O Kit?. Retrieved September 24, 2021.', 'source_name': 'IOKit Fundamentals'}, {'url': 'https://docs.microsoft.com/en-us/windows-hardware/drivers/gettingstarted/user-mode-and-kernel-mode', 'description': 'Viviano, A. (2021, August 17). Getting started with Windows drivers: User mode and kernel mode. Retrieved September 24, 2021.', 'source_name': 'Windows Getting Started Drivers'}]","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5"
"x-mitre-data-source","x-mitre-data-source--509ed41e-ca42-461e-9058-24602256daf9","2021-10-20T15:05:19.273672Z","2021-11-10T09:30:48.695560Z","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","File","1.0","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","['Windows', 'Linux', 'macOS', 'Network']","A computer resource object, managed by the I/O system, for storing data (such as images, text, videos, computer programs, or any wide variety of other media)(Citation: Microsoft File Mgmt)","['Host']","['Center for Threat-Informed Defense (CTID)']","[{'url': 'https://attack.mitre.org/datasources/DS0022', 'external_id': 'DS0022', 'source_name': 'mitre-attack'}, {'url': 'https://docs.microsoft.com/en-us/windows/win32/fileio/file-management', 'description': 'Microsoft. (2018, May 31). File Management (Local File Systems). Retrieved September 28, 2021.', 'source_name': 'Microsoft File Mgmt'}]","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5"
"x-mitre-data-source","x-mitre-data-source--f2f4f4bd-3455-400f-b2ee-104004df0f5b","2021-10-20T15:05:19.273181Z","2021-11-10T09:30:48.695762Z","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","Firewall","1.0","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","['IaaS', 'SaaS', 'Office 365', 'Azure AD', 'Linux', 'macOS', 'Windows', 'Google Workspace']","A network security system, running locally on an endpoint or remotely as a service (ex: cloud environment), that monitors and controls incoming/outgoing network traffic based on predefined rules(Citation: AWS Sec Groups VPC)","['Cloud Control Plane', 'Host']","['Center for Threat-Informed Defense (CTID)']","[{'url': 'https://attack.mitre.org/datasources/DS0018', 'external_id': 'DS0018', 'source_name': 'mitre-attack'}, {'url': 'https://docs.aws.amazon.com/vpc/latest/userguide/VPC_SecurityGroups.html', 'description': 'Amazon. (n.d.). Security groups for your VPC. Retrieved October 13, 2021.', 'source_name': 'AWS Sec Groups VPC'}]","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5"
"x-mitre-data-source","x-mitre-data-source--ca1cb239-ff6d-4f64-b9d7-41c8556a8b4f","2021-10-20T15:05:19.265145Z","2021-11-10T09:30:48.695921Z","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","Firmware","1.0","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","['Windows', 'Linux', 'macOS']","Computer software that provides low-level control for the hardware and device(s) of a host, such as BIOS or UEFI/EFI","['Host']","['Center for Threat-Informed Defense (CTID)']","[{'url': 'https://attack.mitre.org/datasources/DS0001', 'external_id': 'DS0001', 'source_name': 'mitre-attack'}]","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5"
"x-mitre-data-source","x-mitre-data-source--3c07684f-3794-4536-8f70-21efe700c0ec","2021-10-20T15:05:19.275275Z","2021-11-10T09:30:48.695999Z","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","Group","1.0","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","['Windows', 'IaaS', 'SaaS', 'Office 365', 'Azure AD', 'Google Workspace']","A collection of multiple user accounts that share the same access rights to the computer and/or network resources and have common security rights(Citation: Amazon IAM Groups)","['Host', 'Cloud Control Plane']","['Center for Threat-Informed Defense (CTID)']","[{'url': 'https://attack.mitre.org/datasources/DS0036', 'external_id': 'DS0036', 'source_name': 'mitre-attack'}, {'url': 'https://docs.aws.amazon.com/IAM/latest/UserGuide/id_groups.html', 'description': 'Amazon. (n.d.). IAM user groups. Retrieved October 13, 2021.', 'source_name': 'Amazon IAM Groups'}]","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5"
"x-mitre-data-source","x-mitre-data-source--1ac0ca69-e07e-4b34-9061-e4588e146c52","2021-10-20T15:05:19.271956Z","2021-11-10T09:30:48.696179Z","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","Image","1.0","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","['IaaS']","A single file used to deploy a virtual machine/bootable disk into an on-premise or third-party cloud environment(Citation: Microsoft Image)(Citation: Amazon AMI)","['Cloud Control Plane']","['Center for Threat-Informed Defense (CTID)']","[{'url': 'https://attack.mitre.org/datasources/DS0007', 'external_id': 'DS0007', 'source_name': 'mitre-attack'}, {'url': 'https://docs.microsoft.com/en-us/azure/virtual-machines/windows/capture-image-resource', 'description': 'Microsoft. (2021, August 23). Create a managed image of a generalized VM in Azure. Retrieved October 13, 2021.', 'source_name': 'Microsoft Image'}, {'url': 'https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/AMIs.html', 'description': 'Amazon. (n.d.). Amazon Machine Images (AMI). Retrieved October 13, 2021.', 'source_name': 'Amazon AMI'}]","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5"
"x-mitre-data-source","x-mitre-data-source--45232bc0-e858-440d-aa93-d48c6cf167f0","2021-10-20T15:05:19.274538Z","2021-10-20T15:05:19.274538Z","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","Instance","1.0","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","['IaaS']","A virtual server environment which runs workloads, hosted on-premise or by third-party cloud providers(Citation: Amazon VM)(Citation: Google VM)","['Cloud Control Plane']","[]","[{'url': 'https://attack.mitre.org/datasources/DS0030', 'external_id': 'DS0030', 'source_name': 'mitre-attack'}, {'url': 'https://azure.microsoft.com/en-us/overview/what-is-a-virtual-machine/', 'description': 'Microsoft. (n.d.). What is a virtual machine (VM)?. Retrieved October 13, 2021.', 'source_name': 'Amazon VM'}, {'url': 'https://cloud.google.com/compute/docs/instances', 'description': 'Google. (n.d.). Virtual machine instances. Retrieved October 13, 2021.', 'source_name': 'Google VM'}]","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5"
"x-mitre-data-source","x-mitre-data-source--38fe306c-bdec-4f3d-8521-b72dd32dbd17","2021-10-20T15:05:19.275202Z","2021-10-20T15:05:19.275202Z","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","Internet Scan","1.0","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","['PRE']","Information obtained (commonly via active network traffic probes or web crawling) regarding various types of resources and servers connected to the public Internet","['OSINT']","[]","[{'url': 'https://attack.mitre.org/datasources/DS0035', 'external_id': 'DS0035', 'source_name': 'mitre-attack'}]","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5"
"x-mitre-data-source","x-mitre-data-source--8765a845-dea1-4cd1-a56f-f54939b7ab9e","2021-10-20T15:05:19.272087Z","2021-11-10T09:30:48.696693Z","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","Kernel","1.0","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","['Linux', 'macOS']","A computer program, at the core of a computer OS, that resides in memory and facilitates interactions between hardware and software components(Citation: STIG Audit Kernel Modules)(Citation: Init Man Page)","['Host']","['Center for Threat-Informed Defense (CTID)']","[{'url': 'https://attack.mitre.org/datasources/DS0008', 'external_id': 'DS0008', 'source_name': 'mitre-attack'}, {'url': 'https://www.stigviewer.com/stig/oracle_linux_5/2016-12-20/finding/V-22383', 'description': 'Unified Compliance Framework. (2016, December 20). The audit system must be configured to audit the loading and unloading of dynamic kernel modules.. Retrieved September 28, 2021.', 'source_name': 'STIG Audit Kernel Modules'}, {'url': 'https://man7.org/linux/man-pages/man2/init_module.2.html', 'description': 'Kerrisk, M. (2021, March 22). INIT_MODULE(2). Retrieved September 28, 2021.', 'source_name': 'Init Man Page'}]","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5"
"x-mitre-data-source","x-mitre-data-source--4358c631-e253-4557-86df-f687d0ef9891","2021-10-20T15:05:19.274352Z","2021-11-10T09:30:48.696771Z","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","Logon Session","1.0","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","['Windows', 'Linux', 'macOS', 'IaaS', 'SaaS', 'Office 365', 'Azure AD', 'Google Workspace']","Logon occurring on a system or resource (local, domain, or cloud) to which a user/device is gaining access after successful authentication and authorizaton(Citation: Microsoft Audit Logon Events)","['Host', 'Network', 'Cloud Control Plane']","['Center for Threat-Informed Defense (CTID)']","[{'url': 'https://attack.mitre.org/datasources/DS0028', 'external_id': 'DS0028', 'source_name': 'mitre-attack'}, {'url': 'https://docs.microsoft.com/en-us/windows/security/threat-protection/auditing/basic-audit-logon-events', 'description': 'Microsoft. (2021, September 6). Audit logon events. Retrieved September 28, 2021.', 'source_name': 'Microsoft Audit Logon Events'}]","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5"
"x-mitre-data-source","x-mitre-data-source--b86d9b40-5fbe-4ef1-8dc3-263eff26f495","2021-10-20T15:05:19.271698Z","2021-10-20T15:05:19.271698Z","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","Malware Repository","1.0","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","['PRE']","Information obtained (via shared or submitted samples) regarding malicious software (droppers, backdoors, etc.) used by adversaries","['OSINT']","[]","[{'url': 'https://attack.mitre.org/datasources/DS0004', 'external_id': 'DS0004', 'source_name': 'mitre-attack'}]","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5"
"x-mitre-data-source","x-mitre-data-source--f424e4b4-a8a4-4c58-a4ae-4f53bfd08563","2021-10-20T15:05:19.272552Z","2021-11-10T09:30:48.697073Z","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","Module","1.0","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","['Windows', 'Linux', 'macOS']","Executable files consisting of one or more shared classes and interfaces, such as portable executable (PE) format binaries/dynamic link libraries (DLL), executable and linkable format (ELF) binaries/shared libraries, and Mach-O format binaries/shared libraries(Citation: Microsoft LoadLibrary)(Citation: Microsoft Module Class)","['Host']","['Center for Threat-Informed Defense (CTID)']","[{'url': 'https://attack.mitre.org/datasources/DS0011', 'external_id': 'DS0011', 'source_name': 'mitre-attack'}, {'url': 'https://docs.microsoft.com/en-us/windows/win32/api/libloaderapi/nf-libloaderapi-loadlibrarya', 'description': 'Microsoft. (2018, December 5). LoadLibraryA function (libloaderapi.h). Retrieved September 28, 2021.', 'source_name': 'Microsoft LoadLibrary'}, {'url': 'https://docs.microsoft.com/en-us/dotnet/api/system.reflection.module', 'description': 'Microsoft. (n.d.). Module Class. Retrieved September 28, 2021.', 'source_name': 'Microsoft Module Class'}]","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5"
"x-mitre-data-source","x-mitre-data-source--221adcd5-cccf-44df-9be6-ef607a6e1c3c","2021-10-20T15:05:19.273816Z","2021-11-10T09:30:48.697149Z","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","Named Pipe","1.0","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","['Windows', 'Linux', 'macOS']","Mechanisms that allow inter-process communication locally or over the network. A named pipe is usually found as a file and processes attach to it(Citation: Microsoft Named Pipes)","['Host']","['Center for Threat-Informed Defense (CTID)']","[{'url': 'https://attack.mitre.org/datasources/DS0023', 'external_id': 'DS0023', 'source_name': 'mitre-attack'}, {'url': 'https://docs.microsoft.com/en-us/windows/win32/ipc/named-pipes', 'description': 'Microsoft. (2018, May 31). Named Pipes. Retrieved September 28, 2021.', 'source_name': 'Microsoft Named Pipes'}]","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5"
"x-mitre-data-source","x-mitre-data-source--ba27545a-9c32-47ea-ba6a-cce50f1b326e","2021-10-20T15:05:19.274950Z","2021-11-10T09:30:48.697227Z","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","Network Share","1.0","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","['Windows', 'Linux', 'macOS']","A storage resource (typically a folder or drive) made available from one host to others using network protocols, such as Server Message Block (SMB) or Network File System (NFS)(Citation: Microsoft NFS Overview)","['Host']","['Center for Threat-Informed Defense (CTID)']","[{'url': 'https://attack.mitre.org/datasources/DS0033', 'external_id': 'DS0033', 'source_name': 'mitre-attack'}, {'url': 'https://docs.microsoft.com/en-us/windows-server/storage/nfs/nfs-overview', 'description': 'Microsoft. (2018, July 9). Network File System overview. Retrieved September 28, 2021.', 'source_name': 'Microsoft NFS Overview'}]","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5"
"x-mitre-data-source","x-mitre-data-source--c000cd5c-bbb3-4606-af6f-6c6d9de0bbe3","2021-10-20T15:05:19.274446Z","2021-11-10T09:30:48.697365Z","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","Network Traffic","1.0","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","['Windows', 'Linux', 'macOS', 'IaaS']","Data transmitted across a network (ex: Web, DNS, Mail, File, etc.), that is either summarized (ex: Netflow) and/or captured as raw data in an analyzable format (ex: PCAP)","['Host', 'Network', 'Cloud Control Plane']","['Center for Threat-Informed Defense (CTID)', 'ExtraHop']","[{'url': 'https://attack.mitre.org/datasources/DS0029', 'external_id': 'DS0029', 'source_name': 'mitre-attack'}]","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5"
"x-mitre-data-source","x-mitre-data-source--3bef4799-906c-409c-ac00-3fb7a1e352e6","2021-10-20T15:05:19.273623Z","2021-10-20T15:05:19.273623Z","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","Persona","1.0","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","['PRE']","A malicious online profile representing a user commonly used by adversaries to social engineer or otherwise target victims","['OSINT']","[]","[{'url': 'https://attack.mitre.org/datasources/DS0021', 'external_id': 'DS0021', 'source_name': 'mitre-attack'}]","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5"
"x-mitre-data-source","x-mitre-data-source--06bb1e05-533b-4de3-ae87-9b99910465cf","2021-10-20T15:05:19.272712Z","2021-11-10T09:30:48.697559Z","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","Pod","1.0","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","['Containers']","A single unit of shared resources within a cluster, comprised of one or more containers(Citation: Kube Kubectl)(Citation: Kube Pod)","['Container']","['Center for Threat-Informed Defense (CTID)']","[{'url': 'https://attack.mitre.org/datasources/DS0014', 'external_id': 'DS0014', 'source_name': 'mitre-attack'}, {'url': 'https://kubernetes.io/docs/reference/kubectl/kubectl/', 'description': 'kubernetes. (n.d.). kubectl. Retrieved October 13, 2021.', 'source_name': 'Kube Kubectl'}, {'url': 'https://kubernetes.io/docs/reference/generated/kubernetes-api/v1.19/#pod-v1-core', 'description': 'kubenetes. (n.d.). Pod v1 core. Retrieved October 13, 2021.', 'source_name': 'Kube Pod'}]","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5"
