"type","id","created","modified","name","description","external_references","object_marking_refs","created_by_ref","x_mitre_aliases","spec_version","x_mitre_attack_spec_version","x_mitre_domains","x_mitre_modified_by_ref","x_mitre_version","x_mitre_contributors"
"tool","tool--2fab555f-7664-4623-b4e0-1675ae38190b","2017-05-31T21:33:10.962Z","2018-01-17T12:56:55.080Z","Lslsass","Lslsass is a publicly-available tool that can dump active logon session password hashes from the lsass process. (Citation: Mandiant APT1)

Aliases: Lslsass","[{'url': 'https://attack.mitre.org/wiki/Software/S0121', 'source_name': 'mitre-attack', 'external_id': 'S0121'}, {'description': 'Mandiant. (n.d.). APT1 Exposing One of China’s Cyber Espionage Units. Retrieved July 18, 2016.', 'source_name': 'Mandiant APT1', 'url': 'https://www.fireeye.com/content/dam/fireeye-www/services/pdfs/mandiant-apt1-report.pdf'}]","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","['Lslsass']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0",""
"tool","tool--5a33468d-844d-4b1f-98c9-0e786c556b27","2018-01-16T16:13:52.465Z","2018-04-18T17:59:24.739Z","MimiPenguin","MimiPenguin is a credential dumper, similar to Mimikatz, designed specifically for Linux platforms. (Citation: MimiPenguin GitHub May 2017)

Aliases: MimiPenguin

Contributors: Vincent Le Toux","[{'url': 'https://attack.mitre.org/wiki/Software/S0179', 'source_name': 'mitre-attack', 'external_id': 'S0179'}, {'description': 'Gregal, H. (2017, May 12). MimiPenguin. Retrieved December 5, 2017.', 'source_name': 'MimiPenguin GitHub May 2017', 'url': 'https://github.com/huntergregal/mimipenguin'}]","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","['MimiPenguin']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0","['Vincent Le Toux']"
"tool","tool--afc079f3-c0ea-4096-b75d-3f05338b7f60","2017-05-31T21:32:11.544Z","2018-04-18T17:59:24.739Z","Mimikatz","Mimikatz is a credential dumper capable of obtaining plaintext Windows account logins and passwords, along with many other features that make it useful for testing the security of networks. (Citation: Deply Mimikatz) (Citation: Adsecurity Mimikatz Guide)

Aliases: Mimikatz

Contributors: Vincent Le Toux","[{'url': 'https://attack.mitre.org/wiki/Software/S0002', 'source_name': 'mitre-attack', 'external_id': 'S0002'}, {'description': 'Deply, B. (n.d.). Mimikatz. Retrieved September 29, 2015.', 'source_name': 'Deply Mimikatz', 'url': 'https://github.com/gentilkiwi/mimikatz'}, {'description': 'Metcalf, S. (2015, November 13). Unofficial Guide to Mimikatz & Command Reference. Retrieved December 23, 2015.', 'source_name': 'Adsecurity Mimikatz Guide', 'url': 'https://adsecurity.org/?page%20id=1821'}]","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","['Mimikatz']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0","['Vincent Le Toux']"
"tool","tool--03342581-f790-4f03-ba41-e82e67392e23","2017-05-31T21:32:31.601Z","2018-04-18T17:59:24.739Z","Net","The Net utility is a component of the Windows operating system. It is used in command-line operations for control of users, groups, services, and network connections. (Citation: Microsoft Net Utility)

Net has a great deal of functionality, (Citation: Savill 1999) much of which is useful for an adversary, such as gathering system and network information for Discovery, moving laterally through Windows admin shares using `net use` commands, and interacting with services.

Aliases: Net, net.exe","[{'url': 'https://attack.mitre.org/wiki/Software/S0039', 'source_name': 'mitre-attack', 'external_id': 'S0039'}, {'description': 'Microsoft. (2006, October 18). Net.exe Utility. Retrieved September 22, 2015.', 'source_name': 'Microsoft Net Utility', 'url': 'https://msdn.microsoft.com/en-us/library/aa939914'}, {'description': 'Savill, J. (1999, March 4). Net.exe reference. Retrieved September 22, 2015.', 'source_name': 'Savill 1999', 'url': 'http://windowsitpro.com/windows/netexe-reference'}]","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","['Net', 'net.exe']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0",""
"tool","tool--a52edc76-328d-4596-85e7-d56ef5a9eb69","2017-05-31T21:33:11.426Z","2018-01-17T12:56:55.080Z","Pass-The-Hash Toolkit","Pass-The-Hash Toolkit is a toolkit that allows an adversary to ""pass"" a password hash (without knowing the original password) to log in to systems. (Citation: Mandiant APT1)

Aliases: Pass-The-Hash Toolkit","[{'url': 'https://attack.mitre.org/wiki/Software/S0122', 'source_name': 'mitre-attack', 'external_id': 'S0122'}, {'description': 'Mandiant. (n.d.). APT1 Exposing One of China’s Cyber Espionage Units. Retrieved July 18, 2016.', 'source_name': 'Mandiant APT1', 'url': 'https://www.fireeye.com/content/dam/fireeye-www/services/pdfs/mandiant-apt1-report.pdf'}]","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","['Pass-The-Hash Toolkit']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0",""
"tool","tool--b77b563c-34bb-4fb8-86a3-3694338f7b47","2017-05-31T21:33:01.483Z","2018-01-17T12:56:55.080Z","Ping","Ping is an operating system utility commonly used to troubleshoot and verify network connections. (Citation: TechNet Ping)

Aliases: Ping, ping.exe","[{'url': 'https://attack.mitre.org/wiki/Software/S0097', 'source_name': 'mitre-attack', 'external_id': 'S0097'}, {'description': 'Microsoft. (n.d.). Ping. Retrieved April 8, 2016.', 'source_name': 'TechNet Ping', 'url': 'https://technet.microsoft.com/en-us/library/bb490968.aspx'}]","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","['Ping', 'ping.exe']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0",""
"tool","tool--13cd9151-83b7-410d-9f98-25d0f0d1d80d","2018-04-18T17:59:24.739Z","2018-04-18T17:59:24.739Z","PowerSploit","PowerSploit is an open source, offensive security framework compromised of PowerShell modules and scripts that perform a wide range of tasks related to penetration testing such as code execution, persistence, bypassing anti-virus, recon, and exfiltration. (Citation: GitHub PowerSploit May 2012) (Citation: PowerShellMagazine PowerSploit July 2014) (Citation: PowerSploit Documentation)

Aliases: PowerSploit","[{'url': 'https://attack.mitre.org/wiki/Software/S0194', 'source_name': 'mitre-attack', 'external_id': 'S0194'}, {'description': 'PowerShellMafia. (2012, May 26). PowerSploit - A PowerShell Post-Exploitation Framework. Retrieved February 6, 2018.', 'source_name': 'GitHub PowerSploit May 2012', 'url': 'https://github.com/PowerShellMafia/PowerSploit'}, {'description': 'Graeber, M. (2014, July 8). PowerSploit. Retrieved February 6, 2018.', 'source_name': 'PowerShellMagazine PowerSploit July 2014', 'url': 'http://www.powershellmagazine.com/2014/07/08/powersploit/'}, {'description': 'PowerSploit. (n.d.). PowerSploit. Retrieved February 6, 2018.', 'source_name': 'PowerSploit Documentation', 'url': 'http://powersploit.readthedocs.io'}]","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","['PowerSploit']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0",""
"tool","tool--ff6caf67-ea1f-4895-b80e-4bb0fc31c6db","2017-05-31T21:32:21.771Z","2018-01-17T12:56:55.080Z","PsExec","PsExec is a free Microsoft tool that can be used to execute a program on another computer. It is used by IT administrators and attackers. (Citation: Russinovich Sysinternals) (Citation: SANS PsExec)

Aliases: PsExec","[{'url': 'https://attack.mitre.org/wiki/Software/S0029', 'source_name': 'mitre-attack', 'external_id': 'S0029'}, {'description': 'Russinovich, M. (2014, May 2). Windows Sysinternals PsExec v2.11. Retrieved May 13, 2015.', 'source_name': 'Russinovich Sysinternals', 'url': 'https://technet.microsoft.com/en-us/sysinternals/bb897553.aspx'}, {'description': 'Pilkington, M.. (2012, December 17). Protecting Privileged Domain Accounts: PsExec Deep-Dive. Retrieved August 17, 2016.', 'source_name': 'SANS PsExec', 'url': 'https://digital-forensics.sans.org/blog/2012/12/17/protecting-privileged-domain-accounts-psexec-deep-dive'}]","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","['PsExec']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0",""
"tool","tool--cb69b20d-56d0-41ab-8440-4a4b251614d4","2018-04-18T17:59:24.739Z","2018-04-18T17:59:24.739Z","Pupy","Pupy is an open source, cross-platform (Windows, Linux, OSX, Android) remote administration and post-exploitation tool.  (Citation: GitHub Pupy) It is written in Python and can be generated as a payload in several different ways (Windows exe, Python file, PowerShell oneliner/file, Linux elf, APK, Rubber Ducky, etc.). (Citation: GitHub Pupy) Pupy is publicly available on GitHub.  (Citation: GitHub Pupy)

Aliases: Pupy","[{'url': 'https://attack.mitre.org/wiki/Software/S0192', 'source_name': 'mitre-attack', 'external_id': 'S0192'}, {'description': 'Nicolas Verdier. (n.d.).  Retrieved January 29, 2018.', 'source_name': 'GitHub Pupy', 'url': 'https://github.com/n1nj4sec/pupy'}]","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","['Pupy']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0",""
"tool","tool--cde2d700-9ed1-46cf-9bce-07364fe8b24f","2017-05-31T21:32:49.000Z","2018-04-18T17:59:24.739Z","Reg","Reg is a Windows utility used to interact with the Windows Registry. It can be used at the command-line interface to query, add, modify, and remove information. (Citation: Microsoft Reg)

Utilities such as Reg are known to be used by persistent threats. (Citation: Windows Commands JPCERT)

Aliases: Reg, reg.exe","[{'url': 'https://attack.mitre.org/wiki/Software/S0075', 'source_name': 'mitre-attack', 'external_id': 'S0075'}, {'description': 'Microsoft. (2012, April 17). Reg. Retrieved May 1, 2015.', 'source_name': 'Microsoft Reg', 'url': 'https://technet.microsoft.com/en-us/library/cc732643.aspx'}, {'description': 'Tomonaga, S. (2016, January 26). Windows Commands Abused by Attackers. Retrieved February 2, 2016.', 'source_name': 'Windows Commands JPCERT', 'url': 'http://blog.jpcert.or.jp/2016/01/windows-commands-abused-by-attackers.html'}]","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","['Reg', 'reg.exe']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0",""
"tool","tool--a1dd2dbd-1550-44bf-abcc-1a4c52e97719","2018-01-16T16:13:52.465Z","2018-01-17T12:56:55.080Z","Responder","Responder is an open source tool used for LLMNR, NBT-NS and MDNS poisoning, with built-in HTTP/SMB/MSSQL/FTP/LDAP rogue authentication server supporting NTLMv1/NTLMv2/LMv2, Extended Security NTLMSSP and Basic HTTP authentication. (Citation: GitHub Responder)

Aliases: Responder","[{'url': 'https://attack.mitre.org/wiki/Software/S0174', 'source_name': 'mitre-attack', 'external_id': 'S0174'}, {'description': 'Gaffie, L. (2016, August 25). Responder. Retrieved November 17, 2017.', 'source_name': 'GitHub Responder', 'url': 'https://github.com/SpiderLabs/Responder'}]","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","['Responder']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0",""
"tool","tool--d8d19e33-94fd-4aa3-b94a-08ee801a2153","2018-04-18T17:59:24.739Z","2018-04-18T17:59:24.739Z","SDelete","is an application that securely deletes data in a way that makes it unrecoverable. It is part of the Microsoft Sysinternals suite of tools. (Citation: Microsoft SDelete July 2016)

Aliases: SDelete","[{'url': 'https://attack.mitre.org/wiki/Software/S0195', 'source_name': 'mitre-attack', 'external_id': 'S0195'}, {'description': 'Russinovich, M. (2016, July 4). SDelete v2.0. Retrieved February 8, 2018.', 'source_name': 'Microsoft SDelete July 2016', 'url': 'https://docs.microsoft.com/en-us/sysinternals/downloads/sdelete'}]","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","['SDelete']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0",""
"tool","tool--7fcbc4e8-1989-441f-9ac5-e7b6ff5806f1","2017-05-31T21:33:00.969Z","2018-01-17T12:56:55.080Z","Systeminfo","Systeminfo is a Windows utility that can be used to gather detailed information about a computer. (Citation: TechNet Systeminfo)

Aliases: Systeminfo, systeminfo.exe","[{'url': 'https://attack.mitre.org/wiki/Software/S0096', 'source_name': 'mitre-attack', 'external_id': 'S0096'}, {'description': 'Microsoft. (n.d.). Systeminfo. Retrieved April 8, 2016.', 'source_name': 'TechNet Systeminfo', 'url': 'https://technet.microsoft.com/en-us/library/bb491007.aspx'}]","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","['Systeminfo', 'systeminfo.exe']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0",""
"tool","tool--2e45723a-31da-4a7e-aaa6-e01998a6788f","2017-05-31T21:32:39.233Z","2018-01-17T12:56:55.080Z","Tasklist","The Tasklist utility displays a list of applications and services with their Process IDs (PID) for all tasks running on either a local or a remote computer. It is packaged with Windows operating systems and can be executed from the command-line interface. (Citation: Microsoft Tasklist)

Aliases: Tasklist","[{'url': 'https://attack.mitre.org/wiki/Software/S0057', 'source_name': 'mitre-attack', 'external_id': 'S0057'}, {'description': 'Microsoft. (n.d.). Tasklist. Retrieved December 23, 2015.', 'source_name': 'Microsoft Tasklist', 'url': 'https://technet.microsoft.com/en-us/library/bb491010.aspx'}]","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","['Tasklist']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0",""
"tool","tool--ed7d0cb1-87a6-43b4-9f46-ef1bc56d6c68","2018-01-16T16:13:52.465Z","2018-01-17T12:56:55.080Z","Tor","Tor is a software suite and network that provides increased anonymity on the Internet. It creates a multi-hop proxy network and utilizes multilayer encryption to protect both the message and routing information. Tor utilizes ""Onion Routing,"" in which messages are encrypted with multiple layers of encryption; at each step in the proxy network, the topmost layer is decrypted and the contents forwarded on to the next node until it reaches its destination. (Citation: Dingledine Tor The Second-Generation Onion Router)

Aliases: Tor","[{'url': 'https://attack.mitre.org/wiki/Software/S0183', 'source_name': 'mitre-attack', 'external_id': 'S0183'}, {'description': 'Roger Dingledine, Nick Mathewson and Paul Syverson. (2004). Tor: The Second-Generation Onion Router. Retrieved December 21, 2017.', 'source_name': 'Dingledine Tor The Second-Generation Onion Router', 'url': 'http://www.dtic.mil/dtic/tr/fulltext/u2/a465464.pdf'}]","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","['Tor']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0",""
"tool","tool--102c3898-85e0-43ee-ae28-62a0a3ed9507","2017-05-31T21:33:09.047Z","2018-01-17T12:56:55.080Z","UACMe","UACMe is an open source assessment tool that contains many methods for bypassing Windows User Account Control on multiple versions of the operating system. (Citation: Github UACMe)

Aliases: UACMe","[{'url': 'https://attack.mitre.org/wiki/Software/S0116', 'source_name': 'mitre-attack', 'external_id': 'S0116'}, {'description': 'UACME Project. (2016, June 16). UACMe. Retrieved July 26, 2016.', 'source_name': 'Github UACMe', 'url': 'https://github.com/hfiref0x/UACME'}]","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","['UACMe']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0",""
"tool","tool--242f3da3-4425-4d11-8f5c-b842886da966","2017-05-31T21:32:12.684Z","2018-01-17T12:56:55.080Z","Windows Credential Editor","Windows Credential Editor is a password dumping tool. (Citation: Amplia WCE)

Aliases: Windows Credential Editor, WCE","[{'url': 'https://attack.mitre.org/wiki/Software/S0005', 'source_name': 'mitre-attack', 'external_id': 'S0005'}, {'description': 'Amplia Security. (n.d.). Windows Credentials Editor (WCE) F.A.Q.. Retrieved December 17, 2015.', 'source_name': 'Amplia WCE', 'url': 'http://www.ampliasecurity.com/research/wcefaq.html'}]","['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","['Windows Credential Editor', 'WCE']","2.1","2.1.0","['enterprise-attack']","identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5","1.0",""
